,Num Nodes,App A,App B,Run Iteration,App A Time Average,App B Time Average,App A MPI Time Average,App B MPI Time Average,App A Total Messages Sent,App B Total Messages Sent,App A Total Bytes Sent,App B Total Bytes Sent
97,8,minife,kripke,1,385.0,353.0,12.7221875,15.952008928571429,6788000,302720,382248662610.0,388038679360.0
98,8,fiesta,quicksilver,0,352.6830357142857,300.14732142857144,57.89999999999999,138.9703794642857,645120,762710,1640000000000.0,160110400.0
99,8,beatnik,minivite,3,410.91517857142856,376.0,115.22544642857143,57.666294642857146,19996182,24089720,10926550043000.0,1134700459640.0
100,8,minife,laghos,3,384.61830357142856,339.0,12.50361607142857,62.97366071428571,6788000,801311390,382248662610.0,633722271800.0
101,8,minife,tricount,1,394.0,408.0,24.412276785714287,234.37053571428572,6788000,7120960,382248662610.0,10200000956600.0
102,8,minife,kripke,2,384.0,355.0,12.398749999999998,17.77700892857143,6788000,302720,382248662610.0,388038679360.0
103,8,beatnik,minife,3,413.0,391.0,120.79241071428571,18.978125000000002,19996182,6788000,10926550043000.0,382248662610.0
104,8,lammps,laghos,1,360.0,330.0,22.59314732142857,56.12522321428571,457408,801311390,670420822000.0,633722271800.0
105,8,minivite,amg,0,368.0,341.0,49.71651785714285,11.765714285714287,24089720,106441449,1134700459640.0,1008232000000.0
106,8,beatnik,tricount,2,450.0,394.0,155.59375,220.20982142857142,19996182,7120960,10926550043000.0,10200000956600.0
107,1,minife,tricount,3,387.0,281.0,11.296607142857143,51.098214285714285,637048,243320,40726202806.0,2510000237640.0
108,1,minife,minivite,2,383.0,446.0,10.059821428571427,32.058928571428574,637048,747720,40726202806.0,143780111184.0
109,8,kripke,kripke,3,354.0,355.0,16.857589285714287,17.693080357142858,302720,302720,388038679360.0,0.0
110,8,beatnik,beatnik,1,457.21651785714283,457.0,163.50446428571428,164.87053571428572,19996182,19996182,10926550043000.0,0.0
111,8,tricount,kripke,3,389.0,354.0,216.00892857142858,18.006026785714283,7120960,302720,10200000956600.0,388038679360.0
112,1,minivite,lammps,3,442.0,268.0,27.817857142857147,3.84,747720,44688,143780111184.0,72722088150.0
113,1,beatnik,fiesta,3,373.57142857142856,298.875,83.72142857142856,40.01267857142857,375894,67200,1305996005380.0,170600000000.0
114,8,fiesta,amg,3,356.34598214285717,341.0,65.62544642857144,11.86486607142857,645120,106441449,1640000000000.0,1008232000000.0
115,1,minife,fiesta,0,385.0,297.89285714285717,11.050535714285715,38.32196428571428,637048,67200,40726202806.0,170600000000.0
116,8,beatnik,quicksilver,3,404.0,293.0,107.35290178571428,132.06395089285712,19996182,762710,10926550043000.0,160110400.0
117,8,lammps,quicksilver,3,360.0,292.0,22.642433035714287,130.87491071428573,457408,762710,670420822000.0,160110400.0
118,8,beatnik,minivite,1,407.72767857142856,400.0,113.53571428571429,76.71696428571428,19996182,24089720,10926550043000.0,1134700459640.0
119,8,fiesta,fiesta,2,358.8236607142857,353.2611607142857,68.05877232142858,63.637053571428574,645120,645120,1640000000000.0,0.0
120,8,minife,amg,1,384.0,341.15848214285717,12.117745535714286,12.626830357142856,6788000,106441449,382248662610.0,1008232000000.0
121,8,minivite,fiesta,2,372.0,353.4888392857143,53.73392857142857,52.568080357142854,24089720,645120,1134700459640.0,1640000000000.0
122,8,lammps,quicksilver,1,348.0,295.0,15.588705357142858,133.90691964285716,457408,762710,670420822000.0,160110400.0
123,1,minivite,fiesta,2,443.0,298.64285714285717,27.98803571428571,36.527678571428574,747720,67200,143780111184.0,170600000000.0
124,8,minife,laghos,0,384.0,328.0,12.219352678571427,52.78973214285714,6788000,801311390,382248662610.0,633722271800.0
125,8,beatnik,minife,1,419.046875,389.0,122.12946428571429,18.38357142857143,19996182,6788000,10926550043000.0,382248662610.0
126,8,laghos,kripke,2,331.0,356.0,55.92433035714286,18.594866071428573,801311390,302720,633722271800.0,388038679360.0
127,8,laghos,laghos,3,327.0,327.0,52.44486607142857,53.07410714285714,801311390,801311390,633722271800.0,0.0
128,8,minivite,lammps,2,370.0,352.0,52.550000000000004,15.787232142857144,24089720,457408,1134700459640.0,670420822000.0
129,8,beatnik,amg,1,409.06473214285717,347.0,115.82589285714286,21.39776785714286,19996182,106441449,10926550043000.0,1008232000000.0
130,8,fiesta,quicksilver,1,363.49776785714283,292.0,101.87053571428571,130.88127232142855,645120,762710,1640000000000.0,160110400.0
131,8,quicksilver,quicksilver,0,293.0,302.0,131.99660714285716,140.62828125000001,762710,762710,160110400.0,0.0
132,1,fiesta,fiesta,3,297.67857142857144,298.5,37.53160714285714,38.49160714285714,67200,67200,170600000000.0,0.0
133,1,minivite,fiesta,3,438.0,297.67857142857144,24.317857142857143,37.05303571428571,747720,67200,143780111184.0,170600000000.0
134,8,fiesta,kripke,0,355.63839285714283,354.0,79.19486607142858,16.888169642857143,645120,302720,1640000000000.0,388038679360.0
135,1,minife,minivite,0,381.0,449.0,8.520892857142856,33.705357142857146,637048,747720,40726202806.0,143780111184.0
136,1,beatnik,minife,0,374.3392857142857,384.0,84.01071428571427,10.20125,375894,637048,1305996005380.0,40726202806.0
137,8,beatnik,minife,2,405.99330357142856,390.0,115.13169642857143,18.69464285714286,19996182,6788000,10926550043000.0,382248662610.0
138,8,minivite,lammps,3,370.0,356.0,51.31093750000001,21.14654017857143,24089720,457408,1134700459640.0,670420822000.0
139,8,amg,amg,1,347.0,341.0,18.680491071428573,11.775625,106441449,106441449,1008232000000.0,0.0
140,8,beatnik,beatnik,0,470.0,470.64955357142856,183.06696428571428,182.93080357142858,19996182,19996182,10926550043000.0,0.0
141,8,fiesta,laghos,3,353.33035714285717,344.0,55.50848214285714,67.26138392857142,645120,801311390,1640000000000.0,633722271800.0
142,8,tricount,fiesta,2,407.0,354.63169642857144,233.109375,62.738839285714285,7120960,645120,10200000956600.0,1640000000000.0
143,8,beatnik,kripke,0,413.94642857142856,356.0,121.19642857142857,18.519642857142856,19996182,302720,10926550043000.0,388038679360.0
144,8,beatnik,laghos,1,402.0,332.0,105.075,57.494419642857146,19996182,801311390,10926550043000.0,633722271800.0
145,8,minivite,kripke,1,379.0,354.0,61.42477678571428,17.590848214285717,24089720,302720,1134700459640.0,388038679360.0
146,8,minife,lammps,1,383.0,360.0,11.669397321428571,22.559352678571425,6788000,457408,382248662610.0,670420822000.0
147,1,beatnik,minivite,0,373.0,437.0,83.90357142857144,24.446428571428573,375894,747720,1305996005380.0,143780111184.0
148,8,fiesta,amg,0,353.31473214285717,342.0,57.88370535714286,14.0115625,645120,106441449,1640000000000.0,1008232000000.0
149,8,amg,laghos,3,343.0,353.0,13.1896875,79.44575892857142,106441449,801311390,1008232000000.0,633722271800.0
150,8,minife,laghos,2,385.0,326.0,12.905558035714288,51.83660714285715,6788000,801311390,382248662610.0,633722271800.0
151,8,beatnik,fiesta,2,409.0,353.16517857142856,116.31473214285714,58.376785714285724,19996182,645120,10926550043000.0,1640000000000.0
152,8,laghos,quicksilver,3,328.0,300.171875,53.096875000000004,139.18526785714286,801311390,762710,633722271800.0,160110400.0
153,8,minife,minife,0,384.0,388.0,12.634732142857144,14.95279017857143,6788000,6788000,382248662610.0,0.0
154,8,tricount,tricount,0,461.0,461.0,287.73214285714283,287.47544642857144,7120960,7120960,10200000956600.0,0.0
155,8,minivite,minivite,1,380.0,384.0,61.434821428571425,65.79263392857143,24089720,24089720,1134700459640.0,0.0
156,1,minife,tricount,2,384.0,282.0,10.514642857142857,51.416071428571435,637048,243320,40726202806.0,2510000237640.0
157,1,minife,minife,2,385.0,383.0,11.097142857142858,10.051071428571428,637048,637048,40726202806.0,0.0
158,8,lammps,lammps,0,346.0,350.0,15.721227678571426,17.413169642857145,457408,457408,670420822000.0,0.0
159,1,minife,lammps,2,385.0,272.0,11.150178571428572,6.279107142857143,637048,44688,40726202806.0,72722088150.0
160,8,laghos,kripke,3,336.0,355.0,61.80044642857143,17.772098214285712,801311390,302720,633722271800.0,388038679360.0
161,8,minivite,kripke,0,367.0,354.0,49.494196428571435,17.06339285714286,24089720,302720,1134700459640.0,388038679360.0
162,8,beatnik,kripke,3,418.95982142857144,356.0,122.20982142857143,19.08683035714285,19996182,302720,10926550043000.0,388038679360.0
163,8,minife,lammps,0,386.0,350.0,13.892968749999998,14.006986607142855,6788000,457408,382248662610.0,670420822000.0
164,8,laghos,quicksilver,2,318.0,298.0,43.472321428571426,137.02125,801311390,762710,633722271800.0,160110400.0
165,8,tricount,minivite,2,397.0,381.0,223.06696428571428,63.85000000000001,7120960,24089720,10200000956600.0,1134700459640.0
166,8,minivite,quicksilver,0,364.0,296.0,46.849553571428565,134.95381696428572,24089720,762710,1134700459640.0,160110400.0
167,1,fiesta,fiesta,1,298.1607142857143,299.42857142857144,37.47500000000001,39.34410714285714,67200,67200,170600000000.0,0.0
168,8,laghos,quicksilver,1,323.0,291.09598214285717,47.65691964285715,130.1797544642857,801311390,762710,633722271800.0,160110400.0
169,8,lammps,laghos,2,343.0,322.0,9.663950892857143,48.228794642857146,457408,801311390,670420822000.0,633722271800.0
170,8,minife,quicksilver,3,384.0,301.0,12.459709821428573,139.59334821428573,6788000,762710,382248662610.0,160110400.0
171,1,minife,minivite,3,384.0,447.0,10.886071428571427,30.121428571428574,637048,747720,40726202806.0,143780111184.0
172,1,beatnik,lammps,2,372.25,268.0,83.33214285714284,3.3248214285714286,375894,44688,1305996005380.0,72722088150.0
173,8,tricount,lammps,2,406.0,352.0,232.16071428571428,17.310513392857143,7120960,457408,10200000956600.0,670420822000.0
174,1,lammps,lammps,0,274.0,268.0,5.140535714285714,5.0305357142857146,44688,44688,72722088150.0,0.0
175,8,tricount,tricount,3,476.0,475.0,302.39732142857144,302.37276785714283,7120960,7120960,10200000956600.0,0.0
176,8,tricount,lammps,3,390.0,352.0,217.234375,15.66625,7120960,457408,10200000956600.0,670420822000.0
