,App A,App B,Num Nodes,App A Time Average Mean,App A Time Average Median,App A Time Average Std,App B Time Average Mean,App B Time Average Median,App B Time Average Std,App A MPI Time Average Mean,App A MPI Time Average Median,App A MPI Time Average Std,App B MPI Time Average Mean,App B MPI Time Average Median,App B MPI Time Average Std,App A Total Messages Sent Mean,App A Total Messages Sent Median,App A Total Messages Sent Std,App B Total Messages Sent Mean,App B Total Messages Sent Median,App B Total Messages Sent Std,App A Total Bytes Sent Mean,App A Total Bytes Sent Median,App A Total Bytes Sent Std,App B Total Bytes Sent Mean,App B Total Bytes Sent Median,App B Total Bytes Sent Std
52,minife,tricount,8,392.75,393.0,1.2583057392117898,395.75,393.0,8.381527307120106,23.525669642857142,23.852790178571432,1.1757770212452494,221.91350446428572,219.47991071428572,8.658770410954956,6788000.0,6788000.0,0.0,7120960.0,7120960.0,0.0,382248662610.0,382248662610.0,0.0,10200000956600.0,10200000956600.0,0.0
53,minivite,amg,8,371.75,372.5,2.8722813232690143,342.5,342.5,1.7320508075688772,53.753404017857136,54.55513392857142,3.04231359555167,13.398878348214286,13.395926339285712,1.872657251186998,24089720.0,24089720.0,0.0,106441449.0,106441449.0,0.0,1134700459640.0,1134700459640.0,0.0,1008232000000.0,1008232000000.0,0.0
54,minivite,fiesta,1,441.0,441.5,2.449489742783176,298.16517857142856,298.16071428571433,0.6160714285713998,26.5915625,27.02330357142857,1.7694332883393762,37.15723214285714,36.79035714285715,2.134386858041183,747720.0,747720.0,0.0,67200.0,67200.0,0.0,143780111184.0,143780111184.0,0.0,170600000000.0,170600000000.0,0.0
55,minivite,fiesta,8,376.75,375.0,5.909032633745282,356.0189732142857,353.93080357142856,5.248154899542902,58.53967633928571,57.26138392857143,5.465514605309267,69.04458705357143,63.450223214285714,19.393187317493403,24089720.0,24089720.0,0.0,645120.0,645120.0,0.0,1134700459640.0,1134700459640.0,0.0,1640000000000.0,1640000000000.0,0.0
56,minivite,kripke,8,371.75,370.5,5.251983752196248,354.0,354.0,0.0,54.15970982142857,52.859933035714285,5.206159103473214,17.30479910714286,17.28247767857143,0.2534324382762026,24089720.0,24089720.0,0.0,302720.0,302720.0,0.0,1134700459640.0,1134700459640.0,0.0,388038679360.0,388038679360.0,0.0
57,minivite,laghos,8,372.75,372.0,5.188127472091127,346.25,346.0,0.5,54.21768973214286,53.117299107142856,4.566243784134932,72.52622767857143,72.17578125,0.7909645694817068,24089720.0,24089720.0,0.0,801311390.0,801311390.0,0.0,1134700459640.0,1134700459640.0,0.0,633722271800.0,633722271800.0,0.0
58,minivite,lammps,1,442.25,442.0,4.500000000000006,267.75,267.5,4.924428900898047,28.39589285714286,28.003571428571433,2.6569632155736675,4.570089285714285,3.9191071428571425,1.3618477773313906,747720.0,747720.0,0.0,44688.0,44688.0,0.0,143780111184.0,143780111184.0,0.0,72722088150.0,72722088150.0,0.0
59,minivite,lammps,8,371.25,370.0,3.2015621187164207,354.25,354.5,1.7078251276599345,52.75279017857143,51.93046875,2.351625900336374,18.63552455357143,18.804162946428573,2.2786664438693736,24089720.0,24089720.0,0.0,457408.0,457408.0,0.0,1134700459640.0,1134700459640.0,0.0,670420822000.0,670420822000.0,0.0
60,minivite,minivite,1,444.5,444.0,1.9148542155126738,444.5,444.0,1.9148542155126738,27.767410714285717,27.840178571428574,0.49204854087948696,30.91125,30.96428571428571,2.039448090024545,747720.0,747720.0,0.0,747720.0,747720.0,0.0,143780111184.0,143780111184.0,0.0,0.0,0.0,0.0
61,minivite,minivite,8,376.5,377.0,3.415650255319873,378.5,379.0,6.4031242374328485,58.545870535714286,59.30658482142857,3.125333785851641,60.52946428571429,60.60892857142858,6.365681801277942,24089720.0,24089720.0,0.0,24089720.0,24089720.0,0.0,1134700459640.0,1134700459640.0,0.0,0.0,0.0,0.0
62,minivite,quicksilver,8,370.25,370.0,5.377421934967226,297.88002232142856,298.00892857142856,1.437525850800912,52.60853794642857,52.03761160714286,5.298197641713426,136.76243303571428,137.00516741071428,1.3089256986453757,24089720.0,24089720.0,0.0,762710.0,762710.0,0.0,1134700459640.0,1134700459640.0,0.0,160110400.0,160110400.0,0.0
63,quicksilver,quicksilver,8,295.75,294.0,4.1932485418030465,297.49888392857144,298.0,5.91469660547713,134.62393973214287,132.79078125,4.216723269211782,136.1496205357143,136.61138392857146,5.661573041970202,762710.0,762710.0,0.0,762710.0,762710.0,0.0,160110400.0,160110400.0,0.0,0.0,0.0,0.0
64,tricount,amg,8,389.0,389.5,4.690415759823423,347.0,347.0,0.816496580927726,215.64285714285714,216.08035714285714,4.761888834608778,23.33828125,23.555022321428574,0.8682835354678202,7120960.0,7120960.0,0.0,106441449.0,106441449.0,0.0,10200000956600.0,10200000956600.0,0.0,1008232000000.0,1008232000000.0,0.0
65,tricount,fiesta,1,287.75,282.0,12.867918764638416,298.625,298.7142857142857,0.8800268626079163,56.83794642857143,51.17232142857143,12.252699651765624,39.25232142857143,39.04794642857143,3.279710038696281,243320.0,243320.0,0.0,67200.0,67200.0,0.0,2510000237640.0,2510000237640.0,0.0,170600000000.0,170600000000.0,0.0
66,tricount,fiesta,8,391.25,388.0,10.904891868637062,355.47544642857144,355.5100446428571,1.8249439043540734,217.46149553571428,214.21205357142856,10.842530994475009,61.42248883928572,61.930915178571425,4.454658217732065,7120960.0,7120960.0,0.0,645120.0,645120.0,0.0,10200000956600.0,10200000956600.0,0.0,1640000000000.0,1640000000000.0,0.0
67,tricount,kripke,8,391.0,390.0,2.7080128015453164,355.5,355.5,1.7320508075688772,217.34765625,215.97098214285717,2.793843054933181,18.552734375,18.477566964285714,0.9083583405283115,7120960.0,7120960.0,0.0,302720.0,302720.0,0.0,10200000956600.0,10200000956600.0,0.0,388038679360.0,388038679360.0,0.0
68,tricount,laghos,8,391.5,390.5,10.47218538160334,395.0,396.0,8.286535263104035,217.84207589285714,216.61272321428572,10.292843300870699,121.39453125,122.22321428571429,7.61359189295103,7120960.0,7120960.0,0.0,801311390.0,801311390.0,0.0,10200000956600.0,10200000956600.0,0.0,633722271800.0,633722271800.0,0.0
69,tricount,lammps,1,280.25,280.0,0.4999999999999952,269.5,267.0,7.325753658611974,50.03080357142857,49.99107142857143,0.3241202607866131,5.437098214285714,6.047410714285714,1.3589355904877858,243320.0,243320.0,0.0,44688.0,44688.0,0.0,2510000237640.0,2510000237640.0,0.0,72722088150.0,72722088150.0,0.0
70,tricount,lammps,8,395.5,395.0,9.146948489341499,352.0,352.0,0.0,221.96205357142856,221.65178571428572,8.850098417615923,17.375948660714286,17.72521205357143,1.2292894783594632,7120960.0,7120960.0,0.0,457408.0,457408.0,0.0,10200000956600.0,10200000956600.0,0.0,670420822000.0,670420822000.0,0.0
71,tricount,minivite,1,280.75,280.5,0.9574271077563405,440.25,439.0,6.5000000000000036,50.10982142857143,49.89732142857143,0.954536808461294,27.73736607142857,26.14080357142857,5.058123482773582,243320.0,243320.0,0.0,747720.0,747720.0,0.0,2510000237640.0,2510000237640.0,0.0,143780111184.0,143780111184.0,0.0
72,tricount,minivite,8,399.0,397.0,5.4160256030906435,384.75,383.5,4.5000000000000036,225.23883928571428,223.31584821428572,5.39001355227888,66.45708705357143,65.08203125,4.971641639941682,7120960.0,7120960.0,0.0,24089720.0,24089720.0,0.0,10200000956600.0,10200000956600.0,0.0,1134700459640.0,1134700459640.0,0.0
73,tricount,quicksilver,8,385.25,385.5,3.304037933599835,295.75,296.5,5.05799696849784,212.00223214285714,212.55357142857144,2.984643501740706,134.4809542410714,135.26510044642856,4.878907659762805,7120960.0,7120960.0,0.0,762710.0,762710.0,0.0,10200000956600.0,10200000956600.0,0.0,160110400.0,160110400.0,0.0
74,tricount,tricount,1,285.5,285.5,5.802298395176403,281.5,281.5,1.2909944487358056,50.3,50.24732142857143,0.8552595878357813,50.667410714285715,50.79553571428571,0.6486222561764949,243320.0,243320.0,0.0,243320.0,243320.0,0.0,2510000237640.0,2510000237640.0,0.0,0.0,0.0,0.0
75,tricount,tricount,8,487.75,485.5,25.051613387830606,487.5,485.0,25.212430796467576,314.32142857142856,312.0892857142857,24.960954042703175,314.3454241071429,312.1529017857143,25.164713842610663,7120960.0,7120960.0,0.0,7120960.0,7120960.0,0.0,10200000956600.0,10200000956600.0,0.0,0.0,0.0,0.0
